[SPECTANO CSV]
Version           ;Decimal                 ;Field separator
1.2               ;,                       ;";"

[GENERAL SETTINGS]
Tester name       ;Comment                 ;Test cell type
André             ;                        ;Disk electrodes

[MEASUREMENTS]
ID                ;Name                    ;Temperature [°C]          ;Humidity [%]       ;Material type                    ;Serial number                ;PDC output voltage (DC) [V]     ;FDS output voltage (AC) [V];c0                  ;Sample thickness [m];Measurement started
1                 ;Reference 1             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;3,40498927273472E-10;5,26E-05            ;
2                 ;Reference 2             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;                    ;                    ;
3                 ;ELAN-Luft-ohne Elektrode;26,3                      ;45                 ;ELAN Film 125 Luft ohne Elektrode;ELAN125                      ;                                ;200                        ;1,40582759612124E-10;0,0001274           ;2022-07-01 07:14:34Z

[FDS RESULTS]
ID                ;Frequency [Hz]          ;Tanδ                      ;εr'                ;εr''                             ;|Z| [Ω]                      ;Phase of Z [°]                  ;|Y| [S]                    ;Phase of Y [°]      ;Cp [F]              ;Rp [Ω]              ;c' [F]              ;c'' [F]              ;R [Ω]           ;X [Ω]
3                 ;9,99999974737875E-05    ;0,0463066872771062        ;2,22663159297484   ;-0,10310793285721                ;5078957506205,89             ;-87,3487162308505               ;1,96890798707829E-13       ;87,3487162308505    ;3,13026013979942E-10;109798396668037     ;3,13026013979942E-10;-1,44951977389683E-11;234937942016    ;-5073520820224
3                 ;0,000500000023748726    ;0,0465275269486191        ;2,09418271835473   ;-0,0974371428635819              ;1080025218936,65             ;-87,3360902530477               ;9,25904305257392E-13       ;87,3360902530477    ;2,94405985678327E-10;23237719323544,3    ;2,94405985678327E-10;-1,36979824324831E-11;50196598784     ;-1078858088448
3                 ;0,00100000004749745     ;0,0429612957071012        ;2,06083861217511   ;-0,0885362970222669              ;548837339847,69              ;-87,5400117739606               ;1,8220334649197E-12        ;87,5400117739606    ;2,89718379214797E-10;12786941930621,7    ;2,89718379214797E-10;-1,2446676961229E-11 ;23557033984     ;-548331552768
3                 ;0,0020000000949949      ;0,0406982738612861        ;2,02665685318274   ;-0,0824814356336832              ;279073407631,12              ;-87,6694468432787               ;3,58328659290176E-12       ;87,6694468432787    ;2,84913013207253E-10;6862807855357,43    ;2,84913013207253E-10;-1,1595467838153E-11 ;11348411392     ;-278842572800
3                 ;0,00499999988824129     ;0,0353050128382779        ;1,98349050239457   ;-0,0700271576516425              ;114082086145,763             ;-87,9780115880527               ;8,76561810696816E-12       ;87,9780115880527    ;2,78844568491067E-10;3233341480128,78    ;2,78844568491067E-10;-9,84461107046118E-12;4025161728      ;-114011054080
3                 ;0,00999999977648258     ;0,0300712439337142        ;1,95946172362371   ;-0,0589234514698646              ;57750403067,3418             ;-88,2775637008181               ;1,73158964593531E-11       ;88,2775637008181    ;2,7546653646135E-10 ;1921320865652,05    ;2,7546653646135E-10 ;-8,28362141350464E-12;1735841792      ;-57724309504
3                 ;0,0199999995529652      ;0,0257407617866441        ;1,94761952043046   ;-0,0501332101264185              ;29054280935,1143             ;-88,5254885945919               ;3,44183358808038E-11       ;88,5254885945919    ;2,73801726856557E-10;1129100415670,65    ;2,73801726856557E-10;-7,04786502778641E-12;747631680       ;-29044660224
3                 ;0,0500000007450581      ;0,0223351288609284        ;1,93272980797091   ;-0,0431677693143876              ;11712203598,5667             ;-88,7205041153365               ;8,53810294181E-11          ;88,7205041153365    ;2,71708489989161E-10;524515648438,295    ;2,71708489989161E-10;-6,06864413651618E-12;261528352       ;-11709283328
3                 ;0,0799999982118607      ;0,0213763078230565        ;1,92719946092998   ;-0,0411964089132679              ;7341287337,30544             ;-88,7754142808443               ;1,36215891580541E-10       ;88,7754142808443    ;2,70931018540535E-10;343509482293,811    ;2,70931018540535E-10;-5,79150485113671E-12;156893776       ;-7339610624
3                 ;0,100000001490116       ;0,021156099789024         ;1,9270602503253    ;-0,0407690789553437              ;5873481410,97468             ;-88,7880255682857               ;1,70256774479866E-10       ;88,7880255682857    ;2,70911447929562E-10;277688030901,701    ;2,70911447929562E-10;-5,73142962638679E-12;124232160       ;-5872167424
3                 ;0,200000002980232       ;0,0202323316204248        ;1,91393104985881   ;-0,0387232876993712              ;2956942686,42604             ;-88,8409309250903               ;3,38187143291799E-10       ;88,8409309250903    ;2,69065708696481E-10;146179288089,854    ;2,69065708696481E-10;-5,44382664603182E-12;59813604        ;-2956337664
